title,date,summary,operator,passengers,crew,fatalities,survivors
China Airlines Flight 120,"August 20, 2007","Fire on engine shut-down, faulty maintenance, design error",China Airlines,157,8,0,165
Scandinavian Airlines Flight 1209,"September 9, 2007",Landing gear failure,Scandinavian Airlines System,69,4,0,73
2007 Africa One Antonov An-26 crash,,Under investigation,Malift Air,17,5,51,1
Atlasjet Flight 4203,30 November 2007,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",World Focus Airlines,50,7,57,0
TAROM Flight 3107,,Ground collision with maintenance car in fog,TAROM,117,6,0,123
British Airways Flight 38,,"<a href=""/wiki/Fuel_starvation"" title=""Fuel starvation"">Fuel starvation</a> caused by ice, crashed short of runway",British Airways,136,16,0,152
Eagle Airways Flight 2279,8 February 2008,Attempted hijacking,Eagle Airways,7,2,0,9
Belavia Flight 1834,,Wing contamination (ice) leading to loss of lift and stall after takeoff,Belavia,18,3,0,21
Santa Bárbara Airlines Flight 518,21 February 2008,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> caused by disorientation, failure to use checklist, leading to <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",SBA Airlines,43,3,46,0
Benzdorp An-28 crash,"11:00, April&#160;3,&#160;2008",CFIT,Blue Wing Airlines,17,2,19,0
Hewa Bora Airways Flight 122,15 April 2008 (14:45 UTC),Engine failure at takeoff and runway overrun into city,Hewa Bora Airways,86,8,40,91
TACA Flight 390,"May 30, 2008","Runway overrun, Pilot error",TACA Airlines,118,6,5,121
Sudan Airways Flight 109,10 June 2008,Runway overrun,Sudan Airways,203,11,30,184
Qantas Flight 30,,"In-flight structural damage<sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1"">[1]</a></sup><br />
<a href=""/wiki/Rapid_decompression"" class=""mw-redirect"" title=""Rapid decompression"">Rapid decompression</a><sup id=""cite_ref-ATSB_200824_2-0"" class=""reference""><a href=""#cite_note-ATSB_200824-2"">[2]</a></sup>",Qantas,346,19,0,365
Spanair Flight 5022,20 August 2008,Crashed during take-off due to improper flaps and slats selection,Spanair,166,6,154,18
Iran Aseman Airlines Flight 6895,,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a><sup id=""cite_ref-MAK_1-0"" class=""reference""><a href=""#cite_note-MAK-1"">[1]</a></sup>",Itek Air,83,7,68,22
Aeroflot Flight 821,14 September 2008,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, poor <a href=""/wiki/Crew_resource_management"" title=""Crew resource management"">crew resource management</a>, <a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">spatial disorientation</a>",Aeroflot-Nord,82,6,88,0
Qantas Flight 72,7 October 2008,"In-flight upset, Software error",Qantas,303,12,0,315
Yeti Airlines Flight 103,8 October 2008,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Yeti Airlines,16,3,18,1
Ryanair Flight 4102,10 November 2008,"<a href=""/wiki/Bird_strike"" title=""Bird strike"">Bird strike</a>",Ryanair,166,6,0,172
Continental Airlines Flight 1404,,"<a href=""/wiki/Runway#Runway_safety"" title=""Runway"">Runway excursion</a> due to wind.",Continental Airlines,110,5,0,115
US Airways Flight 1549,"January 15, 2009","<a href=""/wiki/Water_landing#Commercial_aircraft"" title=""Water landing"">Controlled ditching</a> after multiple large <a href=""/wiki/Bird_strike"" title=""Bird strike"">bird strikes</a>",US Airways,150,5,0,155
2009 Manaus Aerotáxi crash,,Overloading,Manaus Aerotáxi,26,2,24,4
Colgan Air Flight 3407,,Stalled during landing approach; crashed into a house,Colgan Air,45,4,50,0
Turkish Airlines Flight 1951,,"<a href=""/wiki/Stall_(flight)"" class=""mw-redirect"" title=""Stall (flight)"">Stall</a> while landing at 400ft because of faulty <a href=""/wiki/Radio_altimeter"" class=""mw-redirect"" title=""Radio altimeter"">Radio altimeter</a> and <a href=""/wiki/Human_error"" title=""Human error"">human error</a><sup id=""cite_ref-bw20100506_1-0"" class=""reference""><a href=""#cite_note-bw20100506-1"">[1]</a></sup><sup id=""cite_ref-radio_nl_2-0"" class=""reference""><a href=""#cite_note-radio_nl-2"">[2]</a></sup><sup id=""cite_ref-ninemsn_3-0"" class=""reference""><a href=""#cite_note-ninemsn-3"">[3]</a></sup><sup id=""cite_ref-dw_4-0"" class=""reference""><a href=""#cite_note-dw-4"">[4]</a></sup><sup id=""cite_ref-cbc_5-0"" class=""reference""><a href=""#cite_note-cbc-5"">[5]</a></sup>",Turkish Airlines,128,7,9,126
Cougar Helicopters Flight 91,12 March 2009,Main Gearbox Malfunction/ Collision with Water,Cougar Helicopters,16,2,17,1
Emirates Flight 407,20 March 2009,"<a href=""/wiki/Tailstrike"" title=""Tailstrike"">Tailstrike</a> on takeoff and runway overrun",Emirates (airline),257,18,0,275
2009 Bond Helicopters Eurocopter AS332 crash,1 April 2009,Main Rotor Gearbox failure,Bond Offshore Helicopters,14,2,16,0
CanJet Flight 918,19 April 2009,"Attempted <a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">hijacking</a>",CanJet,174,8,0,182
Air France Flight 447,1 June 2009,"Entered high-altitude <a href=""/wiki/Stall_(flight)"" class=""mw-redirect"" title=""Stall (flight)"">stall</a>, impacted ocean",Air France,216,12,228,0
Yemenia Flight 626,30 June 2009,"Stalled on approach, <a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">spatial disorientation</a> leading to crash",Yemenia,142,11,152,1
Southwest Airlines Flight 2294,"July 13, 2009","
<p>In-flight structural failure</p>
<a href=""/wiki/Rapid_decompression"" class=""mw-redirect"" title=""Rapid decompression"">Rapid decompression</a>",Southwest Airlines,126,5,0,131
Caspian Airlines Flight 7908,,Mechanical failure due to bird strike,Caspian Airlines,153,15,168,0
Aria Air Flight 1525,24 July 2009,Runway overrun on landing,Aria Air,156,17,16,157
Merpati Nusantara Airlines Flight 9760,2 August 2009,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Merpati Nusantara Airlines,12,3,15,0
Bangkok Airways Flight 266,4 August 2009,Runway overrun,Bangkok Airways,68,4,1,71
Airlines PNG Flight 4684,,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to pilot error",Airlines PNG,11,2,13,0
Aeroméxico Flight 576,9 September 2009,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",AeroMéxico,101,3,0,104
Azza Transport Flight 2241,"October&#160;21,&#160;2009","Engine cowl separation, pilot error, stall, loss of control",Azza Transport,3,3,6,0
RwandAir Flight 205,12 November 2009,Ground collision with terminal,JetLink Express,10,5,1,14
American Airlines Flight 331,22 December 2009,"Runway excursion in inclement weather due to incomplete training, pilot error",American Airlines,148,6,0,154
Northwest Airlines Flight 253,"December 25, 2009",Attempted bombing,Northwest Airlines,279,11,0,290
Taban Air Flight 6437,24 January 2010,"Possibly <a href=""/wiki/Engine_failure"" class=""mw-redirect"" title=""Engine failure"">engine failure</a> or <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Taban Air,157,13,0,170
Ethiopian Airlines Flight 409,25 January 2010,Crashed shortly after takeoff,Ethiopian Airlines,82,8,90,0
Aviastar-TU Flight 1906,22 March 2010,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Aviastar-TU,0,8,0,8
AeroUnion Flight 302,13 April 2010,Under investigation,AeroUnion,0,5,5,0
Merpati Nusantara Airlines Flight 836,13 April 2010,Runway overrun caused by bad weather,Merpati Nusantara Airlines,103,6,0,109
Cathay Pacific Flight 780,13 April 2010,"<a href=""/wiki/Engine_failure"" class=""mw-redirect"" title=""Engine failure"">Engine failure</a> due to fuel contamination<sup id=""cite_ref-AugBulletin_1-0"" class=""reference""><a href=""#cite_note-AugBulletin-1"">[1]</a></sup>",Cathay Pacific,309,13,0,322
Afriqiyah Airways Flight 771,12 May 2010,"<a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">Spatial disorientation</a> (somatogravic perceptual illusion) during <a href=""/wiki/Go-around"" title=""Go-around"">go-around</a> following <a href=""/wiki/Terrain_Awareness_and_Warning_System"" class=""mw-redirect"" title=""Terrain Awareness and Warning System"">Terrain Awareness and Warning System</a> (TAWS) alert, lack of <a href=""/wiki/Crew_resource_management"" title=""Crew resource management"">CRM</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Afriqiyah Airways,93,11,103,1
Pamir Airways Flight 112,17 May 2010,"Weather-related<sup id=""cite_ref-FBI_1-0"" class=""reference""><a href=""#cite_note-FBI-1"">[1]</a></sup>",Pamir Airways,39,5,44,0
Air India Express Flight 812,22 May 2010,"Runway overrun due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>.",Air India Express,160,6,158,8
2010 Cameroon Aero Service CASA-212 crash,19 June 2010,Under investigation,Aircraft registration,9,2,11,0
Lufthansa Cargo Flight 8460,27 July 2010,"Runway overshoot, spatial disorientation, ATC error, post-crash fire",Lufthansa Cargo,0,2,0,2
Airblue Flight 202,28 July 2010,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> aggravated by inclement weather,<sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1"">[1]</a></sup> <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>.",Airblue,146,6,152,0
Katekavia Flight 9357,3 August 2010,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> caused by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Katekavia,11,4,12,3
AIRES Flight 8250,16 August 2010,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",AIRES,125,6,2,129
Henan Airlines Flight 8387,,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Henan Airlines,91,5,44,52
"Filair flight, number unknown",25&#160;August&#160;2010,Weight imbalance due to escaped crocodile,Filair,18,3,20,1
UPS Airlines Flight 6,"September 3, 2010",In-flight uncontained cargo fire caused by lithium ion batteries,UPS Airlines,0,2,2,0
Conviasa Flight 2350,13 September 2010,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Conviasa,47,4,17,34
Aero Caribbean Flight 883,4 November 2010,Icing (Investigation is still open as some questions are unanswered),Aero Caribbean,61,7,68,0
Qantas Flight 32,4 November 2010,"<a href=""/wiki/Turbine_engine_failure#Contained_and_uncontained_failures"" title=""Turbine engine failure"">Uncontained engine failure</a>, due to defective engine manufacturing",Qantas,440,29,0,469
Zalingei Tarco Airlines Antonov An-24 crash,,Under investigation,Tarco Airlines,36,6,1,32
Dagestan Airlines Flight 372,"December&#160;4,&#160;2010","Crew error, fuel starvation",Dagestan Airlines,160,8,2,166
2010 Okhaldhunga aircraft crash,15 December 2010,Under investigation,Tara Air,19,3,22,0
Kolavia Flight 348,1 January 2011,Electrical fire,Kogalymavia,116,8,3,131
Iran Air Flight 277,"Sunday, 9 January 2011",Impacted ground on go-around,Iran Air,93,12,78,27
Manx2 Flight 7100,10 February 2011,Loss of control leading to runway impact during attempted go-around,Aircraft registration,10,2,6,6
Central American Airways Flight 731,"February 14, 2011",Controlled flight into terrain,Central American Airways (Honduras airline),12,2,14,0
2011 Pointe-Noire Trans Air Congo An-12 crash,21 March 2011,Crashed on approach,Trans Air Congo,0,4,4,0
Southwest Airlines Flight 812,,"In-flight structural failure leading to<br />
<a href=""/wiki/Rapid_decompression"" class=""mw-redirect"" title=""Rapid decompression"">rapid decompression</a>",Southwest Airlines,117,5,0,123
2011 United Nations Bombardier CRJ-100 crash,4 April 2011,"<a href=""/wiki/Microburst"" title=""Microburst"">Microburst</a>-induced windshear",Georgian Airways,29,4,32,1
Merpati Nusantara Airlines Flight 8968,7 May 2011,"Failure to use checklists, pilot error, inexperienced pilots",Merpati Nusantara Airlines,19,6,25,0
Sol Líneas Aéreas Flight 5428,18 May 2011,Impacted ground following severe icing and stall in cruise,Sol Líneas Aéreas,19,3,22,0
RusAir Flight 9605,20 June 2011,"Impacted road on approach to land by <a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> (<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>)",RusAir,43,9,47,5
Hewa Bora Airways Flight 952,8 July 2011,Impacted ground short of runway on approach to land,Hewa Bora Airways,112,6,74,44
Angara Airlines Flight 5007,11 July 2011,Ditching after engine fire,Angara Airlines,33,4,7,30
Noar Linhas Aéreas Flight 4896,13 July 2011,Lost height and impacted terrain shortly after takeoff,Noar Linhas Aéreas,14,2,16,0
EgyptAir Flight 667,29 July 2011,Cockpit fire,EgyptAir,307,10,0,317
Caribbean Airlines Flight 523,30 July 2011,"Overran runway on landing, broke in half",Caribbean Airlines,157,6,0,163
Avis Amur Antonov An-12 crash,9 August 2011,Loss of control after engine fire,Avis Amur (page does not exist),2,9,11,0
First Air Flight 6560,20 August 2011,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a><sup id=""cite_ref-A11H0002_1-0"" class=""reference""><a href=""#cite_note-A11H0002-1"">[1]</a></sup>",First Air,11,4,12,3
Aerocon Flight 238,6 September 2011,Under investigation,Aerocon,7,2,8,1
Lokomotiv Yaroslavl air disaster,7&#160;September&#160;2011,"Runway overrun and <a href=""/wiki/Aerodynamic_stall"" class=""mw-redirect"" title=""Aerodynamic stall"">stall</a> during takeoff due to applied braking; pilot error, improper pilot training",Yak-Service,37,8,44,1
Buddha Air Flight 103,25 September 2011,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Buddha Air,16,3,19,0
Airlines PNG Flight 1600,13 October 2011,Propeller overspeed with catastrophic engine damage on both engines,Airlines PNG,29,3,28,4
Iran Air Flight 742,18 October 2011,Landed with nose gear up,Iran Air,94,19,0,113
LOT Polish Airlines Flight 16,1 November 2011,"Landing gear failure resulting in a <a href=""/wiki/Belly_landing"" title=""Belly landing"">belly landing</a>",LOT Polish Airlines,220,11,0,231
UTAir Flight 120,2 April 2012,"Lost height on climb-out, impacted ground and burst into flames due to <a href=""/wiki/Atmospheric_icing"" title=""Atmospheric icing"">atmospheric icing</a>",UTair Aviation,39,4,33,10
Bhoja Air Flight 213,20 April 2012,"<a href=""/wiki/Microburst"" title=""Microburst"">Microburst</a> induced windshear countered by inappropriate pilot response",Bhoja Air,121,6,127,0
Mount Salak Sukhoi Superjet 100 crash,9 May 2012,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a><br />
<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Sukhoi,37,8,45,0
2012 Agni Air Dornier 228 crash,14 May 2012,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Agni Air,18,3,15,6
Allied Air Flight 111,2 June 2012,"Overran runway on landing, broke through airport perimeter fence and collided with minibus",Allied Air,0,4,12,4
Dana Air Flight 992,3 June 2012,"Engine failure, subsequent pilot error leading to the crash",Dana Air,147,6,163,0
Tianjin Airlines Flight 7554,29 June 2012,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Attempted hijacking</a>",Tianjin Airlines,92,9,2,99
Petropavlovsk-Kamchatsky Air Flight 251,12 September 2012,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Petropavlovsk-Kamchatsky Air Enterprise,12,2,10,4
Sita Air Flight 601,28&#160;September&#160;2012,"Excessive drag, engine failure (cause of failure undetermined)",Sita Air,16,3,19,0
FlyMontserrat Flight 5M-107,7 October 2012,Control lost following engine failure during or immediately after takeoff,FlyMontserrat,3,1,3,1
2012 Aéro-Service Ilyushin Il-76T crash,30&#160;November&#160;2012,Clipped trees and crashed during final approach,Air Highnesses (page does not exist),1,5,32,0
Air Bagan Flight 011,25 December 2012,Pilot error,Air Bagan,65,6,2,70
Red Wings Airlines Flight 9268,"December 29, 2012","Overran runway on landing, struck elevated highway and broke up",Red Wings Airlines,0,8,5,3
SCAT Airlines Flight 760,29 January 2013,"Impacted ground due to steep dive caused by elevator deflection, reasons undetermined",SCAT Airlines,16,5,21,0
South Airlines Antonov An-24 crash,"13 February 2013, 18:09 ",Impacted ground right wing-first near the runway while attempting to land in fog,South Airlines,44,8,5,47
Lion Air Flight 904,13 April 2013,Crash landed in sea short of runway,Lion Air,101,7,0,108
Nepal Airlines Flight 555,16 May 2013,"Overran the runway on landing, went down a hill and impacted a stone terrace on the bank of <a href=""/wiki/Gandaki_River"" title=""Gandaki River"">Gandaki River</a> nose-first",Nepal Airlines,18,3,0,21
Merpati Nusantara Airlines Flight 6517,10&#160;June&#160;2013,"Pilot error, wrong thrust position during landing led to structural failure",Merpati Nusantara Airlines,46,4,0,50
Asiana Airlines Flight 214,"July&#160;6,&#160;2013","Impact with <a href=""/wiki/Seawall"" title=""Seawall"">seawall</a> on <a href=""/wiki/Final_approach_(aeronautics)"" title=""Final approach (aeronautics)"">final approach</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a><sup id=""cite_ref-AAR-14-01_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-14-01_Final_Report-1"">[1]</a></sup>",Asiana Airlines,291,16,3,304
2013 Rediske Air Otter crash,7 July 2013,"Impacted airport runway after take-off; under investigation<sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1"">[1]</a></sup>",Soldotna Airport,9,1,10,0
UPS Airlines Flight 1354,"August 14, 2013","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",UPS Airlines,0,2,2,0
Lao Airlines Flight 301,16 October 2013,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">controlled flight into terrain</a>",Lao Airlines,44,5,49,0
Tatarstan Airlines Flight 363,17 November 2013,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> on landing",Tatarstan Airlines,44,6,50,0
LAM Mozambique Airlines Flight 470,29 November 2013,"<a href=""/wiki/Suicide_by_pilot"" title=""Suicide by pilot"">Deliberate crash and suicide by pilot</a>",LAM Mozambique Airlines,27,6,33,0
Nepal Airlines Flight 183,16 February 2014,"<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>",Nepal Airlines,15,3,18,0
Ethiopian Airlines Flight 702,17 February 2014,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacked</a> by co-pilot",Ethiopian Airlines,193,9,0,202
Malaysia Airlines Flight 370,8 March 2014,"Cause unknown<br />
<a href=""/wiki/Search_for_Malaysia_Airlines_Flight_370"" title=""Search for Malaysia Airlines Flight 370"">Search</a> called off since 17 January 2017<br />
Some debris found",Malaysia Airlines,227,12,239,0
Malaysia Airlines Flight 17,17 July 2014,"<a href=""/wiki/List_of_airliner_shootdown_incidents"" title=""List of airliner shootdown incidents"">Airliner shootdown</a>",Malaysia Airlines,283,15,298,0
TransAsia Airways Flight 222,23&#160;July&#160;2014,Controlled flight into terrain; pilot error,TransAsia Airways,54,4,48,10
Air Algérie Flight 5017,24 July 2014,"High altitude <a href=""/wiki/Stall_(fluid_mechanics)"" title=""Stall (fluid mechanics)"">stall</a>, icing on engine pressure sensors, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Swiftair,110,6,116,0
Sepahan Airlines Flight 5915,10&#160;August&#160;2014,"Crashed shortly after takeoff due to reported <a href=""/wiki/Engine_failure"" class=""mw-redirect"" title=""Engine failure"">engine failure</a><sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1"">[1]</a></sup> for unknown reasons",Sepahan Airlines,40,8,39,9
Indonesia AirAsia Flight 8501,28&#160;December&#160;2014,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> and failure of rudder travel limiter resulting in <a href=""/wiki/Stall_(fluid_mechanics)"" title=""Stall (fluid mechanics)"">Aerodynamic stall</a> <sup id=""cite_ref-cnn.com_1-0"" class=""reference""><a href=""#cite_note-cnn.com-1"">[1]</a></sup><sup id=""cite_ref-invest_result_2-0"" class=""reference""><a href=""#cite_note-invest_result-2"">[2]</a></sup>",Indonesia AirAsia,156,6,162,0
TransAsia Airways Flight 235,4&#160;February&#160;2015,"Crashed soon after takeoff due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",TransAsia Airways,53,5,43,15
Delta Air Lines Flight 1086,"March 5, 2015","<a href=""/wiki/Runway_safety#Runway_excursion"" title=""Runway safety"">Runway excursion</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a> (excessive reverse thrust), aggravated by inclement weather",Delta Air Lines,127,5,0,132
Germanwings Flight 9525,24&#160;March&#160;2015,"<a href=""/wiki/Suicide_by_pilot"" title=""Suicide by pilot"">Deliberate crash: Suicide by co-pilot</a>",Germanwings,144,6,150,0
Air Canada Flight 624,29 March 2015,Crashed short of runway while landing,Air Canada,133,5,0,138
Asiana Airlines Flight 162,14 April 2015,"Impacted ground short of runway, under investigation",Asiana Airlines,74,8,0,82
Turkish Airlines Flight 1878,,"Hard landing during first attempt, gear collapse and runway excursion during second attempt",Turkish Airlines,97,5,0,102
Trigana Air Service Flight 267,16&#160;August&#160;2015,"Crashed into the Papuan jungle while on approach , under investigation",Trigana Air Service,49,5,54,0
Ceiba Intercontinental Airlines flight 71,5 September 2015,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Senegal Airlines,104,8,0,112
British Airways Flight 2276,8&#160;September&#160;2015,Aircraft fire following uncontained engine failure,British Airways,157,13,0,170
Aviastar Flight 7503,2&#160;October&#160;2015,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to pilot error",Aviastar (Indonesia),7,3,10,0
Dynamic Airways Flight 405,29&#160;October&#160;2015,Aircraft fire following suspected fuel leak. Under investigation.,Dynamic Airways,90,11,0,101
Metrojet Flight 9268,31&#160;October&#160;2015,"Under investigation, suspected bombing",Metrojet (Russian airline),217,7,224,0
2015 Juba An-12 crash,4&#160;November&#160;2015,"Under investigation, overloading suspected",Aircraft registration,13,6,37,2
West Air Sweden Flight 294,8 January 2016,"Instrument Malfunction, <a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">Spatial disorientation</a>, and <a href=""/wiki/Pilot_Error"" class=""mw-redirect"" title=""Pilot Error"">Pilot Error</a>",West Air Sweden,0,2,2,0
Daallo Airlines Flight 159,2&#160;February&#160;2016,"Bomb detonated in a <a href=""/wiki/Suicide_bombing"" class=""mw-redirect"" title=""Suicide bombing"">suicide bombing</a>.",Daallo Airlines,74,7,1,80
Tara Air Flight 193,24&#160;February&#160;2016,Under Investigation,Tara Air,20,3,23,0
2016 Air Kasthamandap crash,26&#160;February&#160;2016,Under Investigation,List of airlines of Nepal,9,2,2,9
Flydubai Flight 981,19&#160;March&#160;2016,"Impacted runway during second attempted go-around, under investigation<sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1"">[1]</a></sup>",Flydubai,55,7,62,0
EgyptAir Flight 181,,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",EgyptAir,56,7,0,63
Batik Air Flight 7703,4 April 2016,Ground collision during take-off due to weak ATC and crew co-ordination,TransNusa Air Services,49,7,0,56
2016 Sunbird Aviation crash,,Improper loading which led to a stall,Aircraft registration,11,1,12,0
EgyptAir Flight 804,19&#160;May&#160;2016,"Crashed, in-flight fire, under investigation",EgyptAir,56,10,66,0
Singapore Airlines Flight 368,27&#160;June&#160;2016,Aircraft fire following oil leak,Singapore Airlines,222,19,0,241
Emirates Flight 521,,"Crashed on landing, under investigation",Emirates (airline),282,18,1,300
ASL Hungary Flight 7332,"4:07AM CET, 5 August 2016",Runway overrun,ASL Airlines Hungary,0,2,0,2
Southwest Airlines Flight 3472,27&#160;August&#160;2016,"<a href=""/wiki/Turbine_engine_failure"" title=""Turbine engine failure"">Uncontained engine failure</a>, under investigation",Southwest Airlines,99,5,0,104
American Airlines Flight 383,"October&#160;28,&#160;2016","<a href=""/wiki/Turbine_engine_failure"" title=""Turbine engine failure"">Uncontained engine failure</a> and fire, under investigation",American Airlines,161,9,0,170
LaMia Flight 2933,,"<a href=""/wiki/Fuel_exhaustion"" class=""mw-redirect"" title=""Fuel exhaustion"">Fuel exhaustion</a> due to deficient flight planning",LaMia,73,4,71,6
Pakistan International Airlines Flight 661,7&#160;December&#160;2016,"Engine failure issues, investigation ongoing",Pakistan International Airlines,42,5,47,0
Aerosucre Fight 4544,20 December 2016,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Runway_overrun"" class=""mw-redirect"" title=""Runway overrun"">runway overrun</a>",Aerosucre,0,6,5,1
Afriqiyah Airways Flight 209,23 December 2016,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Afriqiyah Airways,111,7,0,118
2017 South Supreme Airlines Antonov An-26 crash,20&#160;March&#160;2017,In-Flight-Fire under investigation,South Supreme Airlines,40,5,0,45
Peruvian Airlines Flight 112,28&#160;March&#160;2017,"Landing gear collapse, under investigation",Peruvian Airlines,141,9,0,150
Air Canada Flight 759,,Near collision on final approach,Air Canada,135,5,0,140
Air France Flight 66,30&#160;September&#160;2017,"<a href=""/wiki/Turbine_engine_failure#Contained_and_uncontained_failures"" title=""Turbine engine failure"">Uncontained engine failure</a>, under investigation",Air France,497,24,0,521
Air France Flight 66,30&#160;September&#160;2017,"<a href=""/wiki/Turbine_engine_failure#Contained_and_uncontained_failures"" title=""Turbine engine failure"">Uncontained engine failure</a>, under investigation",Air France,497,24,0,521
