title,year,summary,operator,passengers,crew,fatalities,survivors
China Airlines Flight 611,2002,,China Airlines,206,19,225,0
"Bashkirian Airlines Flight 2937<br />
DHL Flight 611",2002,,DHL International Aviation ME,60,9,69,0
2002 Prestige Airlines Boeing 707 crash,2002,,Prestige Airlines (page does not exist),21,9,28,2
Swiss International Airlines Flight 850,2002,,Swiss International Air Lines,16,4,0,20
Northwest Airlines Flight 85,2002,,Northwest Airlines,386,18,0,404
Luxair Flight 9642,2002,,Luxair,19,3,20,2
Air Midwest Flight 5481,2003,,Air Midwest,19,2,21,0
Sudan Airways Flight 139,2003,,Sudan Airways,106,11,117,0
"<a href=""/wiki/European_Air_Transport"" class=""mw-redirect"" title=""European Air Transport"">European Air Transport</a> OO-DLL",2003,,European Air Transport,0,3,0,3
FedEx Express Flight 647,2003,,FedEx Express,5,2,0,7
Flash Airlines Flight 604,2004,,Flash Airlines,135,13,148,0
Pinnacle Airlines Flight 3701,2004,,Pinnacle Airlines,0,2,2,0
Lion Air Flight 538,2004,,Lion Air,146,7,25,128
Air Transat Flight 961,2005,,Air Transat,262,9,0,271
Regional Airlines Flight 9288,2005,,Regional Airlines (Russia) (page does not exist),45,7,28,24
2005 Logan Airport runway incursion,2005,,US Airways,260,12,0,272
2005 Logan Airport runway incursion,2005,,US Airways,260,12,0,272
Air France Flight 358,2005,,Air France,297,12,0,309
Tuninter Flight 1153,2005,,Tuninter,35,4,16,23
Helios Airways Flight 522,2005,,Helios Airways,115,6,121,0
TANS Perú Flight 204,2005,,TANS Perú,91,7,40,58
JetBlue Flight 292,2005,,JetBlue Airways,140,6,0,146
Bellview Airlines Flight 210,2005,,Bellview Airlines,111,6,117,0
Southwest Airlines Flight 1248,2005,,Southwest Airlines,98,5,1,103
Sosoliso Airlines Flight 1145,2005,,Sosoliso Airlines,103,7,108,2
Chalk's Ocean Airways Flight 101,2005,,Chalk's International Airlines,18,2,20,0
Armavia Flight 967,2006,,Armavia,105,8,113,0
Pakistan International Airlines Flight 688,2006,,Aircraft registration,41,4,45,0
Pulkovo Aviation Enterprise Flight 612,2006,,Pulkovo Aviation Enterprise,160,10,170,0
Comair Flight 5191,2006,,Comair,47,3,49,1
Gol Transportes Aéreos Flight 1907,2006,,ExcelAire,148,6,154,0
Turkish Airlines Flight 1476,2006,,Turkish Airlines,107,6,0,113
Atlantic Airways Flight 670,2006,,Atlantic Airways,12,4,4,12
Aviation Development Company Flight 53,2006,,ADC Airlines,105,5,96,9
Adam Air Flight 574,2007,,Adam Air,96,6,102,0
2007 Balad aircraft crash,2007,,AerianTur-M,30,5,34,1
Air West Flight 612,2007,,Air West,95,8,0,103
Garuda Indonesia Flight 200,2007,,Garuda Indonesia,133,7,21,119
UTair Flight 471,2007,,UTair Aviation,50,7,6,51
2007 Mogadishu TransAVIAexport Airlines Il-76 crash,2007,,TransAVIAexport Airlines,4,7,11,0
Kenya Airways Flight 507,2007,,Kenya Airways,108,6,114,0
PMTair Flight 241,2007,,PMTair,16,6,22,0
TAM Airlines Flight 3054,2007,,TAM Airlines,180,7,199,0
China Airlines Flight 120,2007,,China Airlines,157,8,0,165
2007 Africa One Antonov An-26 crash,2007,,Malift Air,17,5,51,1
Atlasjet Flight 4203,2007,,World Focus Airlines,50,7,57,0
TAROM Flight 3107,2007,,TAROM,117,6,0,123
2008 Transaven Turbolet crash,2008,,Transaven (page does not exist),12,2,14,0
British Airways Flight 38,2008,,British Airways,136,16,0,152
Belavia Flight 1834,2008,,Belavia,18,3,0,21
Santa Bárbara Airlines Flight 518,2008,,SBA Airlines,43,3,46,0
Benzdorp An-28 crash,2008,,Blue Wing Airlines,17,2,19,0
Hewa Bora Airways Flight 122,2008,,Hewa Bora Airways,86,8,40,91
TACA Flight 390,2008,,TACA Airlines,118,6,5,121
Sudan Airways Flight 109,2008,,Sudan Airways,203,11,30,184
Qantas Flight 30,2008,,Qantas,346,19,0,365
Spanair Flight 5022,2008,,Spanair,166,6,154,18
